name	latitude	longitude	population	icon
L'Aquila	42.3506978	13.3999338	72550	map-marker
Potenza	40.6372425	15.8022214	68013	map-pin
Catanzaro	38.9099992	16.5876779	94004	map
Napoli	40.8399968	14.2528707	973132	street-view
Bologna	44.4944456	11.3492311	372256	location-arrow
Trieste	45.6536295	13.7784072	205356	map-signs
Roma	41.8954656	12.4823243	2718768	globe
Genova	44.4070624	8.9339889	610887	building
Milano	45.4636707	9.1881263	1299633	hospital-o
Ancona	43.6158281	13.5189447	101424	car
Campobasso	41.5600859	14.6647992	51321	shopping-cart
Torino	45.0706029	7.6867102	908263	taxi
Bari	41.1260529	16.8692905	322511	subway
Cagliari	39.2149029	9.1094988	158041	train
Palermo	38.1156369	13.3612966	663173	bus
Firenze	43.7687324	11.2569013	364710	plane
Trento	46.0702531	11.1216386	112637	rocket
Perugia	43.1107009	12.3891720	163287	ambulance
Aosta	45.7356745	7.3190697	34726	bicycle
Venezia	45.4343363	12.3387844	268993	motorcycle
